name,career_av,school_name_x,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_yds_per_att,adj_pass_yds_per_att,pass_td,pass_int,rush_att,rush_yds,rush_yds_per_att,rush_td
mike phipps,40.0,Purdue,375,733,51.2,5423,7.4,6.3,37,34,240,460,1.9,9.0
dennis shaw,19.0,San Diego State,199,335,59.4,3185,9.5,8.3,39,26,53,12,0.2,6.0
bill cappleman,0.0,Florida State,349,636,54.9,4904,7.7,6.9,39,29,141,-405,-2.9,1.0
steve ramsey,23.0,North Texas,491,1015,48.4,7076,7.0,5.4,69,67,117,-508,-4.3,2.0
rusty clark,0.0,Houston,40,81,49.4,768,9.5,10.3,8,2,10,3,0.3,1.0
mike cilek,0.0,Iowa,109,232,47.0,1450,6.3,4.1,13,17,49,-94,-1.9,3.0
gordon slade,0.0,Davidson,441,732,60.2,5046,6.9,6.2,41,29,165,-63,-0.4,11.0
mike holmgren,0.0,USC,8,27,29.6,108,4.0,3.1,1,1,9,-17,-1.9,0.0
frank patrick,0.0,Nebraska,143,300,47.7,1760,5.9,3.7,8,18,127,-92,-0.7,3.0
jim plunkett,85.0,Stanford,550,992,55.4,7809,7.9,6.8,53,48,220,369,1.7,10.0
archie manning,75.0,Ole Miss,402,761,52.8,4753,6.2,4.7,31,40,314,823,2.6,25.0
lynn dickey,65.0,Kansas State,501,994,50.4,6208,6.2,3.9,29,64,110,-429,-3.9,4.0
leo hart,0.0,Duke,487,877,55.5,6116,7.0,5.9,23,32,314,151,0.5,13.0
joe theismann,87.0,Notre Dame,290,509,57.0,4411,8.7,6.8,31,35,299,1021,3.4,14.0
scott hunter,20.0,Alabama,382,672,56.8,4899,7.3,6.0,27,32,101,-114,-1.1,4.0
buddy lee,0.0,LSU,123,243,50.6,1823,7.5,6.0,9,12,122,92,0.8,0.0
joe reed,12.0,Mississippi State,182,373,48.8,2118,5.7,3.8,13,21,204,350,1.7,7.0
steve goepel,0.0,Colgate,258,547,47.2,3336,6.1,4.2,25,34,200,-94,-0.5,8.0
busty underwood,0.0,Texas Christian,29,64,45.3,355,5.5,1.3,2,7,17,13,0.8,0.0
chuck hixson,0.0,SMU,642,1115,57.6,7179,6.4,4.9,40,56,243,-295,-1.2,10.0
bobby scott,9.0,Tennessee,236,498,47.4,3371,6.8,5.6,30,26,173,209,1.2,10.0
ron maciejowski,0.0,Ohio State,63,132,47.7,1012,7.7,4.6,7,12,121,465,3.8,8.0
jerry tagge,8.0,Nebraska,377,637,59.2,5069,8.0,7.5,32,20,280,672,2.4,18.0
john reaves,10.0,Florida,603,1128,53.5,7549,6.7,5.3,54,59,130,-266,-2.0,3.0
pat sullivan,3.0,Auburn,472,863,54.7,6534,7.6,6.7,54,41,158,541,3.4,18.0
dean carlson,0.0,Iowa State,246,505,48.7,3258,6.5,4.3,25,35,162,195,1.2,11.0
van brownson,0.0,Nebraska,128,236,54.2,1572,6.7,6.0,12,9,168,343,2.0,13.0
craig curry,0.0,Minnesota,226,505,44.8,3060,6.1,4.6,16,24,227,734,3.2,14.0
don bunce,0.0,Stanford,214,404,53.0,3095,7.7,6.3,20,21,185,481,2.6,5.0
james hamilton,0.0,North Texas,1,1,100.0,34,34.0,34.0,0,0,137,716,5.2,7.0
brian sipe,75.0,San Diego State,436,788,55.3,5707,7.2,5.9,44,43,109,-333,-3.1,1.0
rusty lachaussee,0.0,Tulane,121,286,42.3,1722,6.0,3.0,7,22,90,-74,-0.8,2.0
brian linstrom,0.0,Arizona,193,434,44.5,2619,6.0,4.8,16,19,162,180,1.1,6.0
neil graff,1.0,Wisconsin,273,551,49.5,3699,6.7,5.3,23,27,325,435,1.3,4.0
gordon longmire,0.0,Michigan State,3,16,18.8,25,1.6,-1.3,0,1,5,20,4.0,0.0
kelly cochrane,0.0,Miami (FL),266,576,46.2,3241,5.6,3.0,18,42,118,19,0.2,0.0
bert jones,81.0,LSU,233,446,52.2,3390,7.6,7.1,28,17,231,-88,-0.4,9.0
gary huff,10.0,Florida State,436,793,55.0,6378,8.0,7.0,52,42,125,-292,-2.3,2.0
gary keithley,3.0,Texas,1,5,20.0,22,4.4,-4.6,0,1,11,46,4.2,1.0
joe ferguson,81.0,Arkansas,327,611,53.5,4431,7.3,5.7,24,32,160,-2,0.0,8.0
dan fouts,122.0,Oregon,482,956,50.4,5995,6.3,4.5,37,54,166,-124,-0.7,5.0
don strock,18.0,Virginia Tech,440,829,53.1,6009,7.2,5.4,29,47,145,-138,-1.0,4.0
dan werner,0.0,Michigan State,27,66,40.9,475,7.2,2.7,1,7,14,-26,-1.9,0.0
mike rae,9.0,USC,172,323,53.3,2684,8.3,6.9,16,17,124,321,2.6,6.0
ty paine,0.0,Washington State,325,725,44.8,4136,5.7,2.8,15,54,327,910,2.8,17.0
john hufnagel,2.0,Penn State,225,408,55.1,3545,8.7,8.1,26,17,224,667,3.0,13.0
john madeya,0.0,Louisville,352,719,49.0,4356,6.1,4.3,34,43,149,-545,-3.7,6.0
eddie mcashan,0.0,Georgia Tech,360,698,51.6,4080,5.8,3.4,32,52,215,182,0.8,3.0
eric crone,0.0,Harvard,102,233,43.8,1464,6.3,3.2,14,22,162,262,1.6,9.0
danny white,84.0,Arizona State,345,649,53.2,5932,9.1,8.5,59,36,164,521,3.2,14.0
gary marangi,3.0,Boston College,235,447,52.6,2739,6.1,4.7,19,23,156,512,3.3,5.0
carl summerell,0.0,East Carolina,198,427,46.4,2859,6.7,5.2,26,26,219,785,3.6,10.0
mike boryla,8.0,Stanford,337,637,52.9,4062,6.4,5.2,31,30,137,-281,-2.1,1.0
norris weese,9.0,Ole Miss,172,334,51.5,2084,6.2,5.0,19,18,333,1243,3.7,16.0
jesse freitas,5.0,San Diego State,324,518,62.5,4193,8.1,6.5,28,31,111,-123,-1.1,4.0
gary valbuena,0.0,Tennessee,49,102,48.0,823,8.1,6.3,9,8,25,-43,-1.7,0.0
bo bobrowski,0.0,Purdue,63,146,43.2,910,6.2,3.4,4,11,192,781,4.1,12.0
keith bobo,0.0,SMU,92,178,51.7,1544,8.7,7.7,14,10,192,532,2.8,14.0
joe barnes,0.0,Texas Tech,179,339,52.8,2330,6.9,5.5,15,17,352,1321,3.8,13.0
frank kolch,0.0,Michigan State,27,62,43.5,462,7.5,4.1,3,6,42,60,1.4,2.0
larry cipa,1.0,Michigan,24,71,33.8,360,5.1,2.7,3,5,51,133,2.6,0.0
craig holland,0.0,Texas-Arlington,82,189,43.4,1068,5.7,2.0,8,19,42,-31,-0.7,1.0
steve bartkowski,70.0,California,313,619,50.6,4434,7.2,5.8,20,27,164,-496,-3.0,2.0
gary sheide,0.0,Brigham Young,358,594,60.3,4524,7.6,6.8,45,31,102,-172,-1.7,8.0
steve grogan,90.0,Kansas State,166,371,44.7,2213,6.0,3.5,12,26,339,585,1.7,6.0
bob avellini,28.0,Maryland,246,416,59.1,3380,8.1,5.9,15,27,109,26,0.2,3.0
tom shuman,0.0,Penn State,188,365,51.5,2886,7.9,8.0,28,12,94,-7,-0.1,5.0
steve joachim,0.0,Temple,208,380,54.7,3262,8.6,7.5,31,23,186,401,2.2,18.0
pat haden,33.0,USC,241,468,51.5,3288,7.0,6.0,33,25,209,514,2.5,8.0
harry knight,0.0,Richmond,253,551,45.9,3465,6.3,5.6,25,20,108,-51,-0.5,3.0
condredge holloway,0.0,Tennessee,238,407,58.5,3102,7.6,7.2,18,12,351,966,2.8,9.0
jim mcmillan,0.0,Citadel,2,4,50.0,35,8.8,2.5,1,1,382,1413,3.7,11.0
tom doyle,0.0,Yale,103,233,44.2,1409,6.0,3.5,6,16,282,1027,3.6,8.0
chris kupec,0.0,North Carolina,122,193,63.2,1733,9.0,9.0,14,6,91,119,1.3,9.0
alvin white,0.0,Oregon State,250,557,44.9,3099,5.6,3.0,10,36,155,307,2.0,8.0
bill malouf,0.0,Ole Miss,22,61,36.1,288,4.7,1.7,2,5,81,80,1.0,2.0
mitch anderson,0.0,Northwestern,287,609,47.1,3841,6.3,4.6,26,35,166,-473,-2.8,4.0
neal jeffrey,0.0,Baylor,321,603,53.2,4241,7.0,4.9,25,40,195,-147,-0.8,3.0
richard todd,62.0,Alabama,101,189,53.4,1642,8.7,8.7,16,7,304,1254,4.1,16.0
jeb blount,1.0,Tulsa,319,587,54.3,4343,7.4,6.1,35,32,210,69,0.3,3.0
steve myer,4.0,New Mexico,295,549,53.7,3604,6.6,5.8,28,22,91,-145,-1.6,2.0
gene swick,0.0,Toledo,556,938,59.3,7266,7.7,6.6,43,44,631,817,1.3,19.0
craig penrose,3.0,San Diego State,330,584,56.5,4343,7.4,5.8,25,33,74,-248,-3.4,2.0
mike kirkland,1.0,Arkansas,96,202,47.5,1262,6.2,3.1,4,16,238,545,2.3,5.0
scott bull,5.0,Arkansas,49,108,45.4,829,7.7,5.5,6,8,191,722,3.8,12.0
bob bateman,0.0,Brown,112,206,54.4,1428,6.9,6.2,8,7,85,125,1.5,8.0
scott gardner,0.0,Virginia,390,816,47.8,5218,6.4,3.9,33,60,302,841,2.8,13.0
craig nagel,0.0,Purdue,46,109,42.2,613,5.6,2.9,1,7,81,21,0.3,1.0
bill bowerman,0.0,New Mexico State,99,217,45.6,1498,6.9,5.1,10,13,137,128,0.9,3.0
greg kokal,0.0,Kent State,405,786,51.5,5587,7.1,5.1,30,49,280,651,2.3,7.0
cornelius greene,0.0,Ohio State,146,265,55.1,2348,8.9,6.7,17,20,420,2066,4.9,29.0
dave buckey,0.0,North Carolina State,307,524,58.6,4286,8.2,6.8,22,26,339,501,1.5,10.0
jerry golsteyn,2.0,Northern Illinois,193,399,48.4,2583,6.5,4.0,11,27,77,-77,-1.0,5.0
joe bruner,0.0,Memphis,73,138,52.9,846,6.1,4.4,4,7,58,41,0.7,1.0
